iter	Passed	Remaining
425	1986	44651
426	1991	44653
427	1996	44652
428	2001	44647
429	2005	44633
430	2010	44628
431	2015	44632
432	2019	44624
433	2024	44620
434	2029	44619
435	2034	44618
436	2038	44611
437	2043	44614
438	2048	44610
439	2052	44598
440	2057	44607
441	2062	44596
442	2067	44595
443	2071	44591
444	2076	44592
445	2081	44595
446	2086	44588
447	2090	44569
448	2095	44565
449	2099	44564
450	2105	44570
451	2110	44586
452	2114	44566
453	2118	44548
454	2122	44529
455	2127	44533
456	2131	44519
457	2135	44498
458	2140	44484
459	2143	44454
460	2147	44444
461	2152	44429
462	2156	44412
463	2160	44400
464	2164	44380
465	2168	44365
466	2172	44348
467	2176	44326
468	2180	44315
469	2184	44296
470	2189	44292
471	2193	44287
472	2197	44267
473	2201	44253
474	2206	44242
475	2210	44233
476	2215	44224
477	2218	44199
478	2223	44188
479	2227	44179
480	2232	44175
481	2236	44170
482	2241	44162
483	2246	44159
484	2250	44156
485	2255	44156
486	2259	44139
487	2264	44132
488	2268	44114
489	2272	44106
490	2277	44105
491	2282	44109
492	2286	44099
493	2291	44099
494	2296	44088
495	2300	44076
496	2304	44069
497	2308	44056
498	2313	44051
499	2318	44042
500	2322	44039
501	2327	44033
502	2332	44030
503	2337	44032
504	2342	44034
505	2347	44048
506	2352	44053
507	2357	44053
508	2361	44040
509	2365	44025
510	2369	44006
511	2374	44001
512	2379	44000
513	2383	43983
514	2387	43976
515	2392	43971
516	2396	43963
517	2400	43944
518	2405	43934
519	2409	43928
520	2413	43919
521	2417	43900
522	2422	43893
523	2426	43880
524	2430	43866
525	2435	43857
526	2439	43855
527	2444	43850
528	2448	43841
529	2453	43837
530	2457	43828
531	2462	43816
532	2466	43804
533	2470	43799
534	2475	43793
535	2479	43788
536	2484	43779
537	2489	43776
538	2493	43767
539	2497	43756
540	2502	43747
541	2506	43732
542	2510	43726
543	2514	43712
544	2518	43699
545	2523	43693
546	2527	43672
547	2531	43669
548	2537	43674
549	2541	43663
550	2545	43651
551	2549	43641
552	2553	43624
553	2557	43607
554	2561	43592
555	2565	43578
556	2570	43573
557	2574	43562
558	2578	43553
559	2583	43547
560	2587	43540
561	2592	43538
562	2596	43529
563	2601	43522
564	2605	43517
565	2610	43503
566	2614	43494
567	2618	43488
568	2623	43481
569	2627	43471
570	2631	43462
571	2636	43452
572	2640	43444
573	2644	43433
574	2649	43424
575	2653	43422
576	2658	43408
577	2662	43398
578	2666	43389
579	2671	43391
580	2675	43373
581	2679	43368
582	2684	43369
583	2689	43364
584	2694	43357
585	2698	43346
586	2703	43349
587	2708	43352
588	2712	43337
589	2716	43330
590	2721	43323
591	2725	43309
592	2730	43307
593	2735	43315
594	2739	43310
595	2744	43300
596	2748	43290
597	2752	43276
598	2757	43274
599	2761	43257
600	2765	43253
601	2769	43238
602	2773	43225
603	2777	43208
604	2782	43202
605	2786	43200
606	2791	43197
607	2795	43189
608	2799	43171
609	2803	43163
610	2807	43146
611	2812	43141
612	2816	43134
613	2820	43121
614	2824	43103
615	2829	43096
616	2833	43096
617	2837	43082
618	2841	43069
619	2846	43061
620	2850	43058
621	2854	43042
622	2859	43037
623	2863	43030
624	2868	43028
625	2872	43020
626	2876	43007
627	2881	43003
628	2886	42998
629	2890	42987
630	2894	42978
631	2898	42963
632	2902	42953
633	2907	42946
634	2911	42939
635	2916	42934
636	2920	42925
637	2924	42911
638	2928	42906
639	2933	42905
640	2938	42897
641	2942	42892
642	2947	42886
643	2951	42879
644	2955	42871
645	2959	42856
646	2963	42843
647	2968	42839
648	2972	42829
649	2976	42814
650	2980	42807
651	2985	42802
652	2989	42797
653	2994	42788
654	2998	42779
655	3003	42775
656	3007	42763
657	3011	42758
658	3016	42756
659	3021	42753
660	3025	42746
661	3029	42727
662	3033	42720
663	3037	42707
664	3041	42694
665	3046	42690
666	3050	42689
667	3055	42680
668	3059	42672
669	3064	42677
670	3070	42696
671	3076	42705
672	3082	42723
673	3088	42733
674	3093	42739
675	3098	42739
676	3104	42746
677	3108	42743
678	3114	42748
679	3119	42751
680	3125	42763
681	3130	42765
682	3135	42774
683	3141	42787
684	3147	42805
685	3153	42809
686	3158	42810
687	3163	42823
688	3169	42825
689	3174	42834
690	3179	42837
691	3185	42846
692	3190	42854
693	3195	42854
694	3201	42866
695	3206	42863
696	3212	42877
697	3217	42879
698	3222	42884
699	3228	42891
700	3233	42899
701	3239	42901
702	3243	42899
703	3249	42909
704	3254	42914
705	3260	42927
706	3266	42937
707	3271	42940
708	3277	42948
709	3283	42959
710	3288	42959
711	3293	42962
712	3299	42973
713	3305	42991
714	3310	42993
715	3315	42992
716	3321	43000
717	3327	43016
718	3333	43027
719	3338	43032
720	3344	43038
721	3349	43040
722	3355	43050
723	3360	43058
724	3366	43068
725	3371	43073
726	3377	43079
727	3381	43072
728	3386	43072
729	3391	43069
730	3395	43057
731	3400	43057
732	3404	43044
733	3409	43037
734	3413	43028
735	3417	43014
736	3421	43005
737	3425	42995
738	3430	42984
739	3434	42972
740	3438	42959
741	3440	42929
742	3444	42920
743	3449	42914
744	3454	42909
745	3458	42903
746	3463	42905
747	3468	42898
748	3472	42893
749	3478	42896
750	3482	42892
751	3487	42887
752	3492	42883
753	3496	42880
754	3501	42871
755	3505	42864
756	3510	42862
757	3515	42859
758	3520	42857
759	3525	42858
760	3529	42852
761	3533	42843
762	3538	42840
763	3543	42836
764	3548	42832
765	3552	42826
766	3557	42824
767	3562	42820
768	3566	42815
769	3571	42811
770	3575	42805
771	3580	42798
772	3585	42793
773	3588	42780
774	3593	42777
775	3598	42774
776	3602	42765
777	3607	42763
778	3611	42754
779	3616	42747
780	3620	42741
781	3625	42736
782	3629	42729
783	3634	42722
784	3638	42717
785	3643	42709
786	3647	42702
787	3651	42689
788	3656	42684
789	3660	42675
790	3664	42662
791	3668	42654
792	3672	42641
793	3677	42637
794	3681	42621
795	3685	42611
796	3689	42605
797	3694	42599
798	3698	42590
799	3702	42583
800	3707	42572
801	3711	42562
802	3715	42557
803	3719	42548
804	3724	42545
805	3728	42535
806	3732	42523
807	3736	42505
808	3740	42491
809	3744	42480
810	3748	42473
811	3753	42469
812	3758	42467
813	3762	42460
814	3767	42453
815	3772	42454
816	3774	42426
817	3778	42414
818	3782	42404
819	3787	42403
820	3792	42403
821	3797	42400
822	3801	42392
823	3806	42389
824	3811	42384
825	3816	42383
826	3820	42378
827	3824	42370
828	3829	42363
829	3833	42355
830	3838	42353
831	3843	42347
832	3847	42341
833	3852	42335
834	3856	42329
835	3860	42322
836	3865	42312
837	3869	42307
838	3874	42303
839	3878	42298
840	3883	42296
841	3888	42290
842	3892	42287
843	3897	42283
844	3903	42290
845	3909	42297
846	3914	42296
847	3919	42300
848	3924	42302
849	3930	42308
850	3935	42311
851	3941	42317
852	3946	42316
853	3951	42322
854	3956	42323
855	3961	42322
856	3967	42324
857	3972	42321
858	3977	42323
859	3982	42322
860	3987	42321
861	3992	42319
862	3996	42312
863	4001	42313
864	4006	42312
865	4011	42313
866	4016	42311
867	4021	42311
868	4026	42303
869	4030	42293
870	4034	42287
871	4039	42280
872	4042	42268
873	4048	42267
874	4052	42265
875	4056	42254
876	4061	42245
877	4065	42239
878	4070	42232
879	4073	42220
880	4077	42207
881	4082	42201
882	4086	42194
883	4090	42187
884	4095	42177
885	4099	42175
886	4103	42163
887	4108	42155
888	4111	42141
889	4116	42133
890	4120	42129
891	4124	42115
892	4128	42106
893	4132	42096
894	4137	42087
895	4141	42080
896	4145	42072
897	4150	42066
898	4154	42059
899	4158	42046
900	4162	42038
901	4166	42025
902	4170	42017
903	4175	42016
904	4179	42007
905	4184	42004
906	4189	41998
907	4193	41988
908	4197	41981
909	4201	41971
910	4205	41961
911	4210	41955
912	4214	41946
913	4218	41938
914	4222	41928
915	4226	41914
916	4231	41909
917	4235	41900
918	4239	41891
919	4243	41885
920	4247	41875
921	4252	41871
922	4257	41866
923	4261	41856
924	4266	41853
925	4270	41850
926	4275	41845
927	4279	41837
928	4284	41837
929	4289	41835
930	4294	41835
931	4299	41832
932	4304	41828
933	4309	41832
934	4314	41834
935	4319	41833
936	4324	41828
937	4329	41829
938	4335	41839
939	4340	41839
940	4346	41842
941	4351	41840
942	4356	41841
943	4362	41849
944	4367	41845
945	4371	41842
946	4377	41844
947	4382	41844
948	4387	41841
949	4392	41840
950	4397	41839
951	4402	41838
952	4406	41833
953	4411	41832
954	4416	41832
955	4421	41831
956	4426	41827
957	4431	41829
958	4436	41826
959	4441	41824
960	4447	41828
961	4452	41832
962	4457	41833
963	4463	41834
964	4467	41829
965	4472	41823
966	4477	41828
967	4482	41825
968	4487	41824
969	4492	41824
970	4497	41821
971	4502	41820
972	4507	41816
973	4514	41833
974	4519	41837
975	4525	41844
976	4531	41853
977	4536	41850
978	4542	41857
979	4548	41868
980	4553	41866
981	4558	41866
982	4564	41865
983	4569	41868
984	4574	41867
985	4579	41865
986	4584	41859
987	4588	41857
988	4593	41855
989	4598	41847
990	4602	41844
991	4607	41837
992	4611	41831
993	4616	41824
994	4620	41820
995	4625	41813
996	4631	41819
997	4636	41821
998	4641	41821
999	4646	41821
1000	4652	41822
1001	4659	41846
1002	4671	41907
1003	4686	41990
1004	4692	42003
1005	4698	42010
1006	4704	42015
1007	4709	42012
1008	4714	42013
1009	4720	42016
1010	4725	42017
1011	4730	42013
1012	4735	42008
1013	4739	42004
1014	4744	41997
1015	4748	41989
1016	4753	41987
1017	4758	41982
1018	4763	41981
1019	4768	41980
1020	4773	41978
1021	4779	41988
1022	4785	41995
1023	4791	42001
1024	4797	42009
1025	4802	42007
1026	4807	42005
1027	4813	42006
1028	4818	42006
1029	4823	42004
1030	4828	42004
1031	4833	42007
1032	4838	42001
1033	4843	42000
1034	4849	42001
1035	4854	42001
1036	4859	42000
1037	4864	41998
1038	4869	41995
1039	4874	41992
1040	4879	41995
1041	4885	42000
1042	4890	41998
1043	4895	41993
1044	4899	41984
1045	4903	41977
1046	4907	41965
1047	4912	41962
1048	4916	41954
1049	4921	41946
1050	4925	41938
1051	4930	41935
1052	4934	41929
1053	4939	41923
1054	4944	41922
1055	4949	41922
1056	4953	41914
1057	4958	41907
1058	4963	41904
1059	4967	41895
1060	4972	41889
1061	4976	41882
1062	4980	41876
1063	4985	41870
1064	4989	41859
1065	4993	41853
1066	4998	41847
1067	5002	41838
1068	5007	41834
1069	5011	41826
1070	5015	41817
1071	5020	41810
1072	5024	41804
1073	5029	41799
1074	5034	41799
1075	5039	41792
1076	5043	41783
1077	5047	41777
1078	5051	41765
1079	5055	41756
1080	5060	41753
1081	5064	41743
1082	5069	41736
1083	5073	41731
1084	5079	41732
1085	5083	41726
1086	5088	41720
1087	5092	41711
1088	5096	41704
1089	5101	41697
1090	5105	41687
1091	5109	41678
1092	5113	41667
1093	5117	41660
1094	5122	41654
1095	5126	41645
1096	5130	41635
1097	5134	41624
1098	5138	41616
1099	5142	41611
1100	5147	41605
1101	5151	41598
1102	5156	41591
1103	5160	41586
1104	5165	41582
1105	5170	41576
1106	5174	41571
1107	5180	41572
1108	5184	41565
1109	5189	41559
1110	5193	41551
1111	5197	41544
1112	5201	41534
1113	5206	41529
1114	5211	41524
1115	5215	41517
1116	5219	41510
1117	5224	41508
1118	5229	41500
1119	5233	41495
1120	5238	41490
1121	5241	41477
1122	5246	41470
1123	5250	41459
1124	5254	41453
1125	5259	41447
1126	5263	41438
1127	5267	41431
1128	5272	41429
1129	5277	41424
1130	5281	41416
1131	5285	41408
1132	5289	41396
1133	5293	41388
1134	5297	41377
1135	5302	41372
1136	5306	41367
1137	5310	41357
1138	5315	41350
1139	5319	41342
1140	5323	41335
1141	5328	41327
1142	5332	41317
1143	5336	41309
1144	5340	41303
1145	5344	41294
1146	5349	41292
1147	5354	41288
1148	5358	41279
1149	5363	41273
1150	5367	41262
1151	5371	41257
1152	5376	41252
1153	5380	41245
1154	5384	41237
1155	5389	41229
1156	5393	41220
1157	5397	41214
1158	5402	41210
1159	5406	41201
1160	5411	41196
1161	5415	41189
1162	5420	41190
1163	5426	41196
1164	5431	41193
1165	5436	41190
1166	5441	41184
1167	5446	41181
1168	5450	41172
