iter	Logloss
0	0.683863115
1	0.6752671807
2	0.667083181
3	0.6584637002
4	0.6501783054
5	0.6420769982
6	0.6342281413
7	0.6269334009
8	0.6196020746
9	0.6123643619
10	0.6056735965
11	0.5988058776
12	0.5918636878
13	0.5851678493
14	0.5786638532
15	0.5722524183
16	0.5664342355
17	0.5605962712
18	0.5549908394
19	0.5492455244
20	0.5439407283
21	0.5388487933
22	0.5338209584
23	0.528844704
24	0.5240015379
25	0.51908029
26	0.5144991039
27	0.5101371116
28	0.5055836599
29	0.5014509061
30	0.4974456479
31	0.4935250771
32	0.4894625489
33	0.4855199332
34	0.4815906607
35	0.4779605794
36	0.4745277306
37	0.4711391521
38	0.4678283471
39	0.4646105922
40	0.461234529
41	0.4582157152
42	0.4551801057
43	0.4522896242
44	0.4494144941
45	0.4466041752
46	0.4439039596
47	0.4411675523
48	0.4385064746
49	0.435995708
50	0.4336081941
51	0.4311435914
52	0.4286927018
53	0.4264854861
54	0.4241483328
55	0.4219675612
56	0.4197800475
57	0.4177225022
58	0.4155589931
59	0.4136524129
60	0.4116579042
61	0.4096963505
62	0.4078658001
63	0.4061489815
64	0.4043132391
65	0.4026698741
66	0.4010443001
67	0.399507729
68	0.3978993954
69	0.3963287309
70	0.394676094
71	0.3931292029
72	0.3917066368
73	0.3901665405
74	0.3886678764
75	0.3872685596
76	0.3859974078
77	0.3847330179
78	0.3835102252
79	0.3822203643
80	0.3810605158
81	0.3798005868
82	0.378651186
83	0.377586138
84	0.3764303144
85	0.3753311201
86	0.3743619404
87	0.3732801539
88	0.3722985228
89	0.3713468257
90	0.3704006575
91	0.3694873034
92	0.3685704153
93	0.367640358
94	0.3667643185
95	0.3659024722
96	0.3651566344
97	0.3642996211
98	0.3634896415
99	0.3626353474
100	0.3618269311
101	0.3610009902
102	0.3602590057
103	0.3595054637
104	0.3587577192
105	0.3579734461
106	0.3573112609
107	0.3565683494
108	0.3559010802
109	0.3552489288
110	0.3546262689
111	0.3539690642
112	0.3533674936
113	0.3527464191
114	0.3522053992
115	0.3516245414
116	0.3511078387
117	0.3505271901
118	0.3500039986
119	0.3494852548
120	0.348989157
121	0.3484893997
122	0.3479555513
123	0.3474933817
124	0.3470281163
125	0.3465527357
126	0.3461084033
127	0.3456784467
128	0.3452371991
129	0.344762239
130	0.3442999043
131	0.343894146
132	0.3434245606
133	0.3430476487
134	0.3426243968
135	0.3422175794
136	0.3418160355
137	0.3414462267
138	0.3410765104
139	0.3406904939
140	0.3403579492
141	0.3399859166
142	0.3396539906
143	0.3392775146
144	0.3389195738
145	0.3387003383
146	0.3384118877
147	0.3381155721
148	0.3377787668
149	0.3374807735
150	0.3371534207
151	0.3368787427
152	0.3365697181
153	0.3362952118
154	0.3360197213
155	0.3357294829
156	0.3354468099
157	0.335250467
158	0.3349900415
159	0.3347303602
160	0.3344894828
161	0.3341967628
162	0.3339429671
163	0.333698472
164	0.3334988549
165	0.3332795048
166	0.3330493063
167	0.3328632327
168	0.3326684883
169	0.3324468109
170	0.3322337713
171	0.3320331436
172	0.3318339052
173	0.3316831603
174	0.3314613111
175	0.3312848508
176	0.3311138621
177	0.330903489
178	0.3307558684
179	0.3305776335
180	0.3303996341
181	0.3302708305
182	0.3301090169
183	0.3299547622
184	0.3297771173
185	0.3295891282
186	0.3294269688
187	0.3292574355
188	0.3291020799
189	0.3289690026
190	0.3287930862
191	0.3286180262
192	0.3284615014
193	0.328306115
194	0.3281456159
195	0.3279845509
196	0.3278251593
197	0.3277117598
198	0.3275988536
199	0.3274628676
200	0.3273590947
201	0.3272132841
202	0.3271013929
203	0.3269603184
204	0.326821906
205	0.3266859002
206	0.3265990947
207	0.3265031382
208	0.3263549981
209	0.3262426643
210	0.3261721767
211	0.3260684477
212	0.325996236
213	0.3259092147
214	0.3257918475
215	0.3256836092
216	0.3255986532
217	0.3255085933
218	0.3254240358
219	0.325327672
220	0.3252120069
221	0.3251044423
222	0.3250144727
223	0.3249021302
